ID,City,CO,Methane,Ozone,NO,Max NO,Min NO,Std NO,Max CO,Min CO,Std CO
1,Tokyo,0.033595655113459,NULL,NULL,6.08E-05,6.14443779340945E-05,6.01E-05,9.63E-07,0.034268658608198,0.032922651618719,0.000951770669785
2,Jarkarta,0.033238846808672,NULL,NULL,1.05E-05,1.05E-05,1.05E-05,0,0.033238846808672,0.033238846808672,0
3,Delhi,0.047857783734798,NULL,NULL,0.000368830107618,0.000368830107618,0.000368830107618,0,0.047857783734799,0.047857783734799,0
4,Manila,0.031841136515141,NULL,NULL,2.05E-05,2.05E-05,2.05E-05,0,0.031841136515141,0.031841136515141,0
5,Seoul,0.043847642838955,NULL,NULL,0.000276955659501,0.000276955659501,0.000276955659501,0,0.043847642838955,0.043847642838955,0
6,Shanghai,0.059456162154675,NULL,NULL,0.000132472559926,0.000132472559926,0.000132472559926,0,0.059456162154675,0.059456162154675,0
7,Karachi,0.037771616131067,NULL,NULL,6.74E-05,6.74E-05,6.74E-05,0,0.037771616131067,0.037771616131067,0
8,Bejing,0.050152309238911,1840.23645019531,NULL,0.000264649192104,0.000264649192104,0.000264649192104,0,0.050152309238911,0.050152309238911,0
9,New York,0.02042343467474,NULL,NULL,7.97E-07,7.97E-07,7.97E-07,0,0.02042343467474,0.02042343467474,0
10,Guangzhou,NULL,NULL,NULL,7.33E-05,7.33E-05,7.33E-05,0,NULL,NULL,NULL
11,Sao Paulo,0.030655449256301,NULL,NULL,1.12011812234414E-05,1.12E-05,1.12E-05,0,0.030655449256301,0.030655449256301,0
12,Mexico,0.030598813667893,NULL,NULL,7.76E-06,7.76E-06,7.76E-06,0,0.030598813667894,0.030598813667894,0
13,Mumbai,0.052150100469589,NULL,NULL,0.000162753683981,0.000162753683981,0.000162753683981,0,0.052150100469589,0.052150100469589,0
14,Kyota,0.032842563465238,NULL,NULL,2.27E-05,2.55E-05,1.99E-05,3.90E-06,0.033276926726103,0.032408200204372,0.000614282414512
15,Moscow,0.034571211785078,NULL,NULL,0.001663820585236,0.001663820585236,0.001663820585236,0,0.034571211785078,0.034571211785078,0
16,Dhaka,0.040991120040417,NULL,NULL,0.000219167857722,0.000267444265774,0.00017089144967,6.83E-05,0.040991120040417,0.040991120040417,0
17,Cairo,0.037840399891138,NULL,NULL,0.000223546318011,0.000223546318011,0.000223546318011,0,0.037840399891138,0.037840399891138,0
18,Los Angeles,NULL,NULL,NULL,3.82E-05,3.82E-05,3.82E-05,0,NULL,NULL,NULL
19,Bangkok,4.86E-02,NULL,NULL,0.000121410696011,0.000121410696011,0.000121410696011,0,0.048618618398905,0.048618618398905,0
20,Kolkata,5.05E-02,NULL,NULL,0.00010918177577,0.00010918177577,0.00010918177577,0,0.05046883225441,0.05046883225441,0
